satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD61594,ONEWEB-0015,168,1500,True,evaluated,1677,1393,284,16.935,568,421,404,linear_bias_rate,5.056065,5.074444,-0.3635,closed,closed,closed,closed,closed,closed,8.84915,8.860425,0.011276,0.1274,-0.1274,223,181,0,0.55198,0.011276,-0.013971,-4.3e-05,0.023524,0.041235,1.0,0.068725,127,-0.004237,0.029154,False,23.124395,23.141986,29.542103,29.559652,0.000309,0.000309
NORAD61594,ONEWEB-0015,168,3000,False,evaluated,1677,1436,241,14.3709,611,421,404,stale_age_ridge,5.056065,5.199011,-2.8272,closed,closed,closed,closed,closed,closed,8.84915,8.934623,0.085473,0.9659,-0.9659,208,196,0,0.514851,0.085473,-0.064866,0.024914,0.145736,0.584248,1.0,0.66841932,127,0.0017,0.181039,True,23.124395,23.293831,29.542103,29.694404,0.000309,0.000309
NORAD66514,SENTINEL-6B,8,none,False,evaluated,487,487,0,0.0,290,119,78,linear_bias_rate,0.045403,0.050174,-10.5081,closed,closed,closed,closed,closed,closed,0.041419,0.046695,0.005276,12.7371,-12.7371,23,55,0,0.294872,0.005276,0.005063,0.003443,0.007177,0.000378,0.061992,0.00091946,37,0.00309,0.007482,True,0.116859,0.119098,0.135416,0.136472,0.0,0.0
NORAD66514,SENTINEL-6B,8,150,False,evaluated,487,487,0,0.0,290,119,78,linear_bias_rate,0.045403,0.050174,-10.5081,closed,closed,closed,closed,closed,closed,0.041419,0.046695,0.005276,12.7371,-12.7371,23,55,0,0.294872,0.005276,0.005063,0.003443,0.007177,0.000378,0.061992,0.00091946,37,0.00309,0.007482,True,0.116859,0.119098,0.135416,0.136472,0.0,0.0
NORAD66514,SENTINEL-6B,8,500,False,evaluated,487,487,0,0.0,290,119,78,linear_bias_rate,0.045403,0.050174,-10.5081,closed,closed,closed,closed,closed,closed,0.041419,0.046695,0.005276,12.7371,-12.7371,23,55,0,0.294872,0.005276,0.005063,0.003443,0.007177,0.000378,0.061992,0.00091946,37,0.00309,0.007482,True,0.116859,0.119098,0.135416,0.136472,0.0,0.0
NORAD66514,SENTINEL-6B,8,1500,True,evaluated,487,487,0,0.0,290,119,78,linear_bias_rate,0.045403,0.050174,-10.5081,closed,closed,closed,closed,closed,closed,0.041419,0.046695,0.005276,12.7371,-12.7371,23,55,0,0.294872,0.005276,0.005063,0.003443,0.007177,0.000378,0.061992,0.00091946,37,0.00309,0.007482,True,0.116859,0.119098,0.135416,0.136472,0.0,0.0
NORAD66514,SENTINEL-6B,8,3000,False,evaluated,487,487,0,0.0,290,119,78,linear_bias_rate,0.045403,0.050174,-10.5081,closed,closed,closed,closed,closed,closed,0.041419,0.046695,0.005276,12.7371,-12.7371,23,55,0,0.294872,0.005276,0.005063,0.003443,0.007177,0.000378,0.061992,0.00091946,37,0.00309,0.007482,True,0.116859,0.119098,0.135416,0.136472,0.0,0.0
NORAD66514,SENTINEL-6B,24,none,False,evaluated,689,689,0,0.0,402,161,126,linear_bias_rate,0.143756,0.152887,-6.3516,closed,closed,closed,closed,closed,closed,0.115621,0.125032,0.009411,8.14,-8.14,31,95,0,0.246032,0.009411,0.005299,0.006713,0.01245,0.0,0.0,0.0,46,0.005698,0.013281,True,0.338164,0.329225,0.39321,0.384734,0.0,0.0
NORAD66514,SENTINEL-6B,24,150,False,evaluated,689,688,1,0.1451,401,161,126,linear_bias_rate,0.143756,0.166915,-16.11,closed,closed,closed,closed,closed,closed,0.115621,0.14089,0.025269,21.8551,-21.8551,13,113,0,0.103175,0.025269,0.015271,0.01967,0.031361,0.0,0.0,0.0,46,0.017906,0.032816,True,0.338164,0.338273,0.39321,0.391868,0.0,0.0
NORAD66514,SENTINEL-6B,24,500,False,evaluated,689,689,0,0.0,402,161,126,linear_bias_rate,0.143756,0.152887,-6.3516,closed,closed,closed,closed,closed,closed,0.115621,0.125032,0.009411,8.14,-8.14,31,95,0,0.246032,0.009411,0.005299,0.006713,0.01245,0.0,0.0,0.0,46,0.005698,0.013281,True,0.338164,0.329225,0.39321,0.384734,0.0,0.0
NORAD66514,SENTINEL-6B,24,1500,True,evaluated,689,689,0,0.0,402,161,126,linear_bias_rate,0.143756,0.152887,-6.3516,closed,closed,closed,closed,closed,closed,0.115621,0.125032,0.009411,8.14,-8.14,31,95,0,0.246032,0.009411,0.005299,0.006713,0.01245,0.0,0.0,0.0,46,0.005698,0.013281,True,0.338164,0.329225,0.39321,0.384734,0.0,0.0
NORAD66514,SENTINEL-6B,24,3000,False,evaluated,689,689,0,0.0,402,161,126,linear_bias_rate,0.143756,0.152887,-6.3516,closed,closed,closed,closed,closed,closed,0.115621,0.125032,0.009411,8.14,-8.14,31,95,0,0.246032,0.009411,0.005299,0.006713,0.01245,0.0,0.0,0.0,46,0.005698,0.013281,True,0.338164,0.329225,0.39321,0.384734,0.0,0.0
NORAD66514,SENTINEL-6B,48,none,False,evaluated,687,687,0,0.0,395,163,129,linear_bias_rate,0.292191,0.313504,-7.2941,closed,closed,closed,closed,closed,closed,0.22246,0.248562,0.026102,11.7336,-11.7336,28,101,0,0.217054,0.026102,0.016087,0.019968,0.032442,0.0,0.0,0.0,47,0.01757,0.034625,True,0.642011,0.613951,0.740964,0.701516,0.0,0.0
NORAD66514,SENTINEL-6B,48,150,False,evaluated,687,684,3,0.4367,392,163,129,linear_bias_rate,0.292191,0.331417,-13.4248,closed,closed,closed,closed,closed,closed,0.22246,0.269047,0.046587,20.9419,-20.9419,10,119,0,0.077519,0.046587,0.049495,0.040625,0.051928,0.0,0.0,0.0,47,0.039528,0.05283,True,0.642011,0.604226,0.740964,0.692557,0.0,0.0
NORAD66514,SENTINEL-6B,48,500,False,evaluated,687,687,0,0.0,395,163,129,linear_bias_rate,0.292191,0.313504,-7.2941,closed,closed,closed,closed,closed,closed,0.22246,0.248562,0.026102,11.7336,-11.7336,28,101,0,0.217054,0.026102,0.016087,0.019968,0.032442,0.0,0.0,0.0,47,0.01757,0.034625,True,0.642011,0.613951,0.740964,0.701516,0.0,0.0
NORAD66514,SENTINEL-6B,48,1500,True,evaluated,687,687,0,0.0,395,163,129,linear_bias_rate,0.292191,0.313504,-7.2941,closed,closed,closed,closed,closed,closed,0.22246,0.248562,0.026102,11.7336,-11.7336,28,101,0,0.217054,0.026102,0.016087,0.019968,0.032442,0.0,0.0,0.0,47,0.01757,0.034625,True,0.642011,0.613951,0.740964,0.701516,0.0,0.0
NORAD66514,SENTINEL-6B,48,3000,False,evaluated,687,687,0,0.0,395,163,129,linear_bias_rate,0.292191,0.313504,-7.2941,closed,closed,closed,closed,closed,closed,0.22246,0.248562,0.026102,11.7336,-11.7336,28,101,0,0.217054,0.026102,0.016087,0.019968,0.032442,0.0,0.0,0.0,47,0.01757,0.034625,True,0.642011,0.613951,0.740964,0.701516,0.0,0.0
NORAD66514,SENTINEL-6B,72,none,False,evaluated,688,688,0,0.0,398,163,127,linear_bias_rate,0.451209,12.825768,-2742.5326,closed,closed,closed,closed,closed,closed,0.325852,14.723617,14.397766,4418.5053,-4418.5053,0,127,0,0.0,14.397766,8.069763,12.515254,16.408736,0.0,0.0,0.0,46,12.310274,16.51714,True,0.959541,17.01067,1.08834,17.222125,0.0,0.0
NORAD66514,SENTINEL-6B,72,150,False,evaluated,688,678,10,1.4535,388,163,127,linear_bias_rate,0.451209,0.503131,-11.5073,closed,closed,closed,closed,closed,closed,0.325852,0.388446,0.062595,19.2096,-19.2096,10,117,0,0.07874,0.062595,0.052683,0.054844,0.070608,0.0,0.0,0.0,46,0.053818,0.07124,True,0.959541,0.904132,1.08834,1.012645,0.0,0.0
NORAD66514,SENTINEL-6B,72,500,False,evaluated,688,679,9,1.3081,389,163,127,linear_bias_rate,0.451209,0.492134,-9.07,closed,closed,closed,closed,closed,closed,0.325852,0.382078,0.056227,17.2553,-17.2553,15,112,0,0.11811,0.056227,0.055485,0.049194,0.063652,0.0,0.0,0.0,46,0.047996,0.063326,True,0.959541,0.895872,1.08834,1.000312,0.0,0.0
