satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy,selection_reason,selected_val_mae_hz,gate_margin_hz,val_mae_zero,val_mae_mean_bias,val_mae_median_bias,val_mae_linear_age,val_mae_age_ridge,val_mae_deployable_ridge,test_mae_zero,test_mae_mean_bias,test_mae_median_bias,test_mae_linear_age,test_mae_age_ridge,test_mae_deployable_ridge
NORAD61594,ONEWEB-0015,96,150,False,evaluated,1680,1354,326,19.4048,538,416,400,age_ridge,2.050872,2.052545,-0.0816,closed,closed,closed,closed,closed,closed,2.799585,2.801852,0.002266,0.081,-0.081,168,232,0,0.42,0.002266,0.006451,-0.000428,0.004923,0.0016,0.2416,0.0036,127,-0.001307,0.006019,False,7.38287,7.375242,9.152804,9.145866,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.052545,-0.104216242,2.050872,2.052665,2.051571,2.052558,2.052545,2.598513,2.799585,2.802305,2.800789,2.801851,2.801852,3.318082
NORAD61594,ONEWEB-0015,96,500,False,evaluated,1680,1427,253,15.0595,604,419,404,age_ridge,2.330997,2.341552,-0.4528,closed,closed,closed,closed,closed,closed,3.27862,3.288305,0.009684,0.2954,-0.2954,199,205,0,0.492574,0.009684,0.00158,0.002486,0.0174,0.803584,1.0,0.89287111,127,0.001736,0.018739,True,8.638962,8.636241,10.77105,10.768808,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.341552,-0.127105388,2.330997,2.33477,2.331942,2.342546,2.341552,3.875716,3.27862,3.283448,3.28,3.28924,3.288305,4.778786
NORAD61594,ONEWEB-0015,96,1500,True,evaluated,1680,1492,188,11.1905,668,420,404,age_ridge,2.667518,2.691306,-0.8917,closed,closed,closed,closed,closed,closed,3.27862,3.305903,0.027283,0.8321,-0.8321,200,204,0,0.49505,0.027283,0.002049,0.010883,0.045439,0.881376,1.0,0.94987506,127,0.007528,0.050224,True,8.638962,8.709785,10.77105,10.838858,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.691306,-0.157163496,2.667518,2.674186,2.667404,2.694434,2.691306,19.342524,3.27862,3.28201,3.278311,3.309669,3.305903,20.44616
NORAD61594,ONEWEB-0015,96,3000,False,evaluated,1680,1522,158,9.4048,698,420,404,age_ridge,2.667518,2.96681,-11.2199,closed,closed,closed,closed,closed,closed,3.27862,3.56837,0.28975,8.8376,-8.8376,122,282,0,0.30198,0.28975,0.113919,0.234573,0.347428,0.0,0.0,0.0,127,0.224026,0.367666,True,8.638962,8.941982,10.77105,11.044387,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.96681,-0.432667497,2.667518,2.740879,2.667637,2.987566,2.96681,36.550253,3.27862,3.348945,3.278065,3.59105,3.56837,37.764746
NORAD61594,ONEWEB-0015,168,none,False,evaluated,1677,1677,0,0.0,852,421,404,age_ridge,5.056065,13.307934,-163.2073,closed,closed,closed,closed,closed,closed,8.84915,16.872552,8.023402,90.6686,-90.6686,56,348,0,0.138614,8.023402,6.41911,7.219459,8.853292,0.0,0.0,0.0,127,6.941245,9.089583,True,23.124395,31.97363,29.542103,37.771179,0.000309,0.000309,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",13.307934,-8.504672269,5.056065,12.192587,5.069069,13.442745,13.307934,1704.123714,8.84915,14.938915,8.850853,17.042624,16.872552,1751.088633
NORAD61594,ONEWEB-0015,168,150,False,evaluated,1677,1262,415,24.7466,455,413,394,linear_age,4.568471,4.56715,0.0289,closed,closed,closed,closed,closed,closed,7.088684,7.089253,0.00057,0.008,-0.008,171,223,0,0.43401,0.00057,0.004895,-0.001384,0.002514,0.010099,1.0,0.01961676,126,-0.002448,0.003569,False,18.325809,18.320597,23.049225,23.043528,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",4.56715,-0.227102378,4.568471,4.567561,4.571467,4.56715,4.56715,4.863268,7.088684,7.089473,7.099985,7.089253,7.089253,7.320223
NORAD61594,ONEWEB-0015,168,500,False,evaluated,1677,1346,331,19.7376,522,421,403,age_ridge,5.056065,5.060879,-0.0952,closed,closed,closed,closed,closed,closed,8.263608,8.270843,0.007235,0.0875,-0.0875,186,217,0,0.461538,0.007235,0.005895,0.001478,0.013123,0.13497,1.0,0.19698324,127,-0.001205,0.014922,False,21.408905,21.384881,27.03792,27.012553,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",5.060879,-0.257617264,5.056065,5.056231,5.066763,5.061454,5.060879,6.190238,8.263608,8.266817,8.280567,8.271335,8.270843,9.221409
NORAD61594,ONEWEB-0015,168,1500,True,evaluated,1677,1393,284,16.935,568,421,404,age_ridge,5.056065,5.073095,-0.3368,closed,closed,closed,closed,closed,closed,8.84915,8.859245,0.010095,0.1141,-0.1141,226,178,0,0.559406,0.010095,-0.012614,-0.000795,0.021742,0.019258,1.0,0.03537184,127,-0.004965,0.027452,False,23.124395,23.142298,29.542103,29.560032,0.000309,0.000309,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",5.073095,-0.269833145,5.056065,5.062109,5.064519,5.074444,5.073095,11.077666,8.84915,8.848753,8.863155,8.860425,8.859245,14.037954
NORAD61594,ONEWEB-0015,168,3000,False,evaluated,1677,1436,241,14.3709,611,421,404,age_ridge,5.056065,5.23826,-3.6035,closed,closed,closed,closed,closed,closed,8.84915,8.997886,0.148736,1.6808,-1.6808,201,203,0,0.497525,0.148736,0.007964,0.092207,0.204765,0.960328,1.0,1.0,127,0.075388,0.230862,True,23.124395,23.331562,29.542103,29.733089,0.000309,0.000309,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",5.23826,-0.434998838,5.056065,5.155685,5.05837,5.248156,5.23826,44.214783,8.84915,8.899898,8.855695,9.009826,8.997886,46.250227
NORAD66514,SENTINEL-6B,8,none,False,evaluated,487,487,0,0.0,290,119,78,age_ridge,0.045403,0.049994,-10.112,closed,closed,closed,closed,closed,closed,0.041419,0.046384,0.004965,11.9877,-11.9877,25,53,0,0.320513,0.004965,0.005216,0.003164,0.006802,0.002031,0.300588,0.00431787,37,0.002829,0.007111,True,0.116859,0.11816,0.135416,0.135482,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",0.049994,-0.006861306,0.045403,0.049613,0.045403,0.050174,0.049994,0.06724,0.041419,0.045684,0.041419,0.046695,0.046384,0.062881
